"By age ","By qualification of stay","PERIOD","Total","Male","Female",
"44 s","Art and Entertainment","2015 ","5","4","1",
"44 s","Art and Entertainment","2016 ","7","5","2",
"44 s","Art and Entertainment","2017 ","2","1","1",
"44 s","Art and Entertainment","2018 ","8","5","3",
"44 s","Art and Entertainment","2019 ","9","5","4",
"44 s","Unskilled Employment","2000 ","0","0","0",
"44 s","Unskilled Employment","2001 ","0","0","0",
"44 s","Unskilled Employment","2002 ","0","0","0",
"44 s","Unskilled Employment","2003 ","19","12","7",
"44 s","Unskilled Employment","2004 ","70","41","29",
"44 s","Unskilled Employment","2005 ","13","9","4",
"44 s","Unskilled Employment","2006 ","42","27","15",
"44 s","Unskilled Employment","2007 ","19","11","8",
"44 s","Unskilled Employment","2008 ","16","10","6",
"44 s","Unskilled Employment","2009 ","7","7","0",
"44 s","Unskilled Employment","2010 ","1","1","0",
"44 s","Unskilled Employment","2011 ","4","4","",
"44 s","Unskilled Employment","2012 ","40","39","1",
"44 s","Unskilled Employment","2013 ","93","92","1",
"44 s","Unskilled Employment","2014 ","31","30","1",
"44 s","Unskilled Employment","2015 ","43","40","3",
"44 s","Unskilled Employment","2016 ","67","64","3",
"44 s","Unskilled Employment","2017 ","67","61","6",
"44 s","Unskilled Employment","2018 ","43","39","4",
"44 s","Unskilled Employment","2019 ","39","38","1",
"44 s","Visiting and Joining Family","2000 ","72","4","68",
"44 s","Visiting and Joining Family","2001 ","151","7","144",
"44 s","Visiting and Joining Family","2002 ","106","11","95",
"44 s","Visiting and Joining Family","2003 ","324","164","160",
"44 s","Visiting and Joining Family","2004 ","682","346","336",
"44 s","Visiting and Joining Family","2005 ","1304","660","644",
"44 s","Visiting and Joining Family","2006 ","2308","1253","1055",
"44 s","Visiting and Joining Family","2007 ","541","270","271",
"44 s","Visiting and Joining Family","2008 ","34","12","22",
"44 s","Visiting and Joining Family","2009 ","37","10","27",
"44 s","Visiting and Joining Family","2010 ","62","28","34",
"44 s","Visiting and Joining Family","2011 ","60","29","31",
"44 s","Visiting and Joining Family","2012 ","55","15","40",
"44 s","Visiting and Joining Family","2013 ","84","18","66",
"44 s","Visiting and Joining Family","2014 ","116","25","91",
"44 s","Visiting and Joining Family","2015 ","187","35","152",
"44 s","Visiting and Joining Family","2016 ","261","94","167",
"44 s","Visiting and Joining Family","2017 ","259","97","162",
"44 s","Visiting and Joining Family","2018 ","290","95","195",
"44 s","Visiting and Joining Family","2019 ","311","109","202",
"44 s","Overseas Koreans","2000 ","17","3","14",
"44 s","Overseas Koreans","2001 ","28","13","15",
"44 s","Overseas Koreans","2002 ","36","15","21",
"44 s","Overseas Koreans","2003 ","37","19","18",
"44 s","Overseas Koreans","2004 ","36","15","21",
"44 s","Overseas Koreans","2005 ","38","16","22",
"44 s","Overseas Koreans","2006 ","36","20","16",
"44 s","Overseas Koreans","2007 ","41","18","23",
"44 s","Overseas Koreans","2008 ","43","24","19",
"44 s","Overseas Koreans","2009 ","60","30","30",
"44 s","Overseas Koreans","2010 ","169","79","90",
"44 s","Overseas Koreans","2011 ","204","98","106",
"44 s","Overseas Koreans","2012 ","193","104","89",
"44 s","Overseas Koreans","2013 ","271","146","125",
"44 s","Overseas Koreans","2014 ","323","170","153",
"44 s","Overseas Koreans","2015 ","421","235","186",
"44 s","Overseas Koreans","2016 ","513","292","221",
"44 s","Overseas Koreans","2017 ","504","277","227",
"44 s","Overseas Koreans","2018 ","517","278","239",
"44 s","Overseas Koreans","2019 ","455","226","229",
"44 s","Permanent Residence","2000 ","0","0","0",
"44 s","Permanent Residence","2001 ","0","0","0",
"44 s","Permanent Residence","2002 ","0","0","0",
"44 s","Permanent Residence","2003 ","1","1","0",
"44 s","Permanent Residence","2004 ","6","3","3",
"44 s","Permanent Residence","2005 ","6","3","3",
"44 s","Permanent Residence","2006 ","4","2","2",
"44 s","Permanent Residence","2007 ","5","3","2",
"44 s","Permanent Residence","2008 ","12","6","6",
"44 s","Permanent Residence","2009 ","9","6","3",
"44 s","Permanent Residence","2010 ","18","7","11",
"44 s","Permanent Residence","2011 ","58","25","33",
"44 s","Permanent Residence","2012 ","92","36","56",
"44 s","Permanent Residence","2013 ","125","43","82",
"44 s","Permanent Residence","2014 ","118","49","69",
"44 s","Permanent Residence","2015 ","155","67","88",
"44 s","Permanent Residence","2016 ","130","57","73",
"44 s","Permanent Residence","2017 ","135","59","76",
"44 s","Permanent Residence","2018 ","108","51","57",
"44 s","Permanent Residence","2019 ","102","39","63",
"44 s","Marriage Immigration","2011 ","3","1","2",
"44 s","Marriage Immigration","2012 ","193","43","150",
"44 s","Marriage Immigration","2013 ","206","38","168",
"44 s","Marriage Immigration","2014 ","171","52","119",
"44 s","Marriage Immigration","2015 ","146","36","110",
"44 s","Marriage Immigration","2016 ","162","39","123",
"44 s","Marriage Immigration","2017 ","118","32","86",
"44 s","Marriage Immigration","2018 ","144","33","111",
"44 s","Marriage Immigration","2019 ","146","52","94",
"45 s","Total","2000 ","1970","1166","804",
"45 s","Total","2001 ","2143","1307","836",
"45 s","Total","2002 ","2200","1288","912",
"45 s","Total","2003 ","2318","1284","1034",
"45 s","Total","2004 ","2676","1404","1272",
"45 s","Total","2005 ","4076","2044","2032",
"45 s","Total","2006 ","4007","2178","1829",
"45 s","Total","2007 ","4507","2422","2085",
"45 s","Total","2008 ","5687","2908","2779",
"45 s","Total","2009 ","3845","1943","1902",
"45 s","Total","2010 ","4930","2567","2363",
"45 s","Total","2011 ","3996","1955","2041",
"45 s","Total","2012 ","3049","1459","1590",
"45 s","Total","2013 ","5115","2620","2495",
"45 s","Total","2014 ","6338","3490","2848",
"45 s","Total","2015 ","5139","2709","2430",
"45 s","Total","2016 ","5278","2760","2518",
"45 s","Total","2017 ","6235","3542","2693",
"45 s","Total","2018 ","6293","3499","2794",
"45 s","Total","2019 ","4937","2532","2405",
"45 s","Sightseeing Pass","2000 ","212","136","76",
"45 s","Sightseeing Pass","2001 ","343","249","94",
"45 s","Sightseeing Pass","2002 ","358","242","116",
"45 s","Sightseeing Pass","2003 ","291","197","94",
"45 s","Sightseeing Pass","2004 ","299","197","102",
"45 s","Sightseeing Pass","2005 ","296","188","108",
"45 s","Sightseeing Pass","2006 ","221","145","76",
"45 s","Sightseeing Pass","2007 ","183","112","71",
"45 s","Sightseeing Pass","2008 ","233","158","75",
"45 s","Sightseeing Pass","2009 ","237","139","98",
"45 s","Sightseeing Pass","2010 ","316","199","117",
"45 s","Sightseeing Pass","2011 ","250","149","101",
"45 s","Sightseeing Pass","2012 ","226","132","94",
"45 s","Sightseeing Pass","2013 ","220","121","99",
"45 s","Sightseeing Pass","2014 ","279","160","119",
"45 s","Sightseeing Pass","2015 ","379","226","153",
"45 s","Sightseeing Pass","2016 ","341","186","155",
"45 s","Sightseeing Pass","2017 ","388","234","154",
"45 s","Sightseeing Pass","2018 ","715","449","266",
"45 s","Sightseeing Pass","2019 ","330","158","172",
"45 s","Short-term Business","2000 ","408","247","161",
"45 s","Short-term Business","2001 ","417","285","132",
"45 s","Short-term Business","2002 ","246","180","66",
"45 s","Short-term Business","2003 ","208","160","48",
"45 s","Short-term Business","2004 ","149","122","27",
"45 s","Short-term Business","2005 ","162","120","42",
"45 s","Short-term Business","2006 ","188","149","39",
"45 s","Short-term Business","2007 ","225","173","52",
"45 s","Short-term Business","2008 ","199","154","45",
"45 s","Short-term Business","2009 ","74","64","10",
"45 s","Short-term Business","2010 ","45","41","4",
"45 s","Short-term Business","2011 ","51","45","6",
"45 s","Short-term Visitors","2000 ","760","406","354",
"45 s","Short-term Visitors","2001 ","705","381","324",
"45 s","Short-term Visitors","2002 ","839","458","381",
"45 s","Short-term Visitors","2003 ","602","316","286",
"45 s","Short-term Visitors","2004 ","483","275","208",
"45 s","Short-term Visitors","2005 ","538","280","258",
"45 s","Short-term Visitors","2006 ","427","212","215",
"45 s","Short-term Visitors","2007 ","351","181","170",
"45 s","Short-term Visitors","2008 ","410","186","224",
"45 s","Short-term Visitors","2009 ","308","120","188",
"45 s","Short-term Visitors","2010 ","1442","679","763",
"45 s","Short-term Visitors","2011 ","1424","640","784",
"45 s","Short-term Visitors","2012 ","1085","456","629",
"45 s","Short-term Visitors","2013 ","1759","863","896",
"45 s","Short-term Visitors","2014 ","1357","715","642",
"45 s","Short-term Visitors","2015 ","1490","821","669",
"45 s","Short-term Visitors","2016 ","1496","823","673",
"45 s","Short-term Visitors","2017 ","1502","884","618",
"45 s","Short-term Visitors","2018 ","1353","748","605",
"45 s","Short-term Visitors","2019 ","1101","604","497",
"45 s","Short-term Employment","2000 ","1","1","0",
"45 s","Short-term Employment","2001 ","1","1","0",
"45 s","Short-term Employment","2002 ","0","0","0",
"45 s","Short-term Employment","2003 ","4","2","2",
"45 s","Short-term Employment","2004 ","3","3","0",
"45 s","Short-term Employment","2005 ","4","4","0",
"45 s","Short-term Employment","2006 ","4","1","3",
"45 s","Short-term Employment","2007 ","2","2","0",
"45 s","Short-term Employment","2008 ","1","1","0",
"45 s","Short-term Employment","2009 ","3","2","1",
"45 s","Short-term Employment","2010 ","0","0","0",
"45 s","Short-term Employment","2011 ","1","1","",
"45 s","Short-term Employment","2012 ","2","1","1",
"45 s","Short-term Employment","2014 ","2","2","0",
"45 s","Short-term Employment","2016 ","8","8","0",
"45 s","Short-term Employment","2017 ","1","1","0",
"45 s","Short-term Employment","2018 ","1","0","1",
"45 s","Short-term Employment","2019 ","1","1","0",
"45 s","Job Seeking","2000 ","0","0","0",
"45 s","Job Seeking","2001 ","0","0","0",
"45 s","Job Seeking","2002 ","0","0","0",
"45 s","Job Seeking","2003 ","0","0","0",
"45 s","Job Seeking","2004 ","0","0","0",
"45 s","Job Seeking","2005 ","0","0","0",
"45 s","Job Seeking","2006 ","0","0","0",
"45 s","Job Seeking","2007 ","0","0","0",
"45 s","Job Seeking","2008 ","0","0","0",
"45 s","Job Seeking","2009 ","0","0","0",
"45 s","Job Seeking","2010 ","0","0","0",
"45 s","Job Seeking","2014 ","1","1","0",
"45 s","Job Seeking","2015 ","2","2","0",
"45 s","Job Seeking","2017 ","1","1","0",
"45 s","Job Seeking","2018 ","2","2","0",
"45 s","Job Seeking","2019 ","1","1","0",
"45 s","study","2000 ","8","3","5",
"45 s","study","2001 ","9","6","3",
"45 s","study","2002 ","7","6","1",
"45 s","study","2003 ","10","8","2",
"45 s","study","2004 ","6","5","1",
"45 s","study","2005 ","2","2","0",
"45 s","study","2006 ","3","2","1",
"45 s","study","2007 ","8","5","3",
"45 s","study","2008 ","4","2","2",
"45 s","study","2009 ","6","6","0",
"45 s","study","2010 ","8","8","0",
"45 s","study","2011 ","3","1","2",
"45 s","study","2012 ","5","2","3",
"45 s","study","2013 ","5","4","1",
"45 s","study","2014 ","7","3","4",
"45 s","study","2015 ","15","6","9",
"45 s","study","2016 ","10","9","1",
"45 s","study","2017 ","9","7","2",
"45 s","study","2018 ","18","7","11",
"45 s","study","2019 ","21","13","8",
"45 s","General Trainees","2000 ","5","3","2",
"45 s","General Trainees","2001 ","4","2","2",
"45 s","General Trainees","2002 ","2","2","0",
"45 s","General Trainees","2003 ","6","4","2",
"45 s","General Trainees","2004 ","3","2","1",
"45 s","General Trainees","2005 ","4","3","1",
"45 s","General Trainees","2006 ","3","3","0",
"45 s","General Trainees","2007 ","4","2","2",
"45 s","General Trainees","2008 ","5","3","2",
"45 s","General Trainees","2009 ","5","3","2",
"45 s","General Trainees","2010 ","2","1","1",
"45 s","General Trainees","2011 ","29","15","14",
"45 s","General Trainees","2013 ","10","8","2",
"45 s","General Trainees","2014 ","7","5","2",
"45 s","General Trainees","2015 ","4","3","1",
"45 s","General Trainees","2016 ","7","6","1",
"45 s","General Trainees","2017 ","12","6","6",
"45 s","General Trainees","2018 ","8","5","3",
"45 s","General Trainees","2019 ","5","2","3",
"45 s","Religious Activities","2000 ","5","2","3",
"45 s","Religious Activities","2001 ","9","2","7",
"45 s","Religious Activities","2002 ","1","1","0",
"45 s","Religious Activities","2003 ","4","0","4",
"45 s","Religious Activities","2004 ","4","2","2",
"45 s","Religious Activities","2005 ","4","3","1",
"45 s","Religious Activities","2006 ","0","0","0",
"45 s","Religious Activities","2007 ","8","4","4",
"45 s","Religious Activities","2008 ","7","6","1",
"45 s","Religious Activities","2009 ","6","3","3",
"45 s","Religious Activities","2010 ","7","5","2",
"45 s","Religious Activities","2011 ","4","3","1",
"45 s","Religious Activities","2012 ","7","7","",
"45 s","Religious Activities","2013 ","4","2","2",
"45 s","Religious Activities","2014 ","8","7","1",
"45 s","Religious Activities","2015 ","5","1","4",
"45 s","Religious Activities","2016 ","2","2","0",
"45 s","Religious Activities","2017 ","3","2","1",
"45 s","Religious Activities","2018 ","1","0","1",
"45 s","Religious Activities","2019 ","5","3","2",
"45 s","Investors","2000 ","76","47","29",
"45 s","Investors","2001 ","58","39","19",
"45 s","Investors","2002 ","32","28","4",
"45 s","Investors","2003 ","26","25","1",
"45 s","Investors","2004 ","34","27","7",
"45 s","Investors","2005 ","47","39","8",
"45 s","Investors","2006 ","27","25","2",
"45 s","Investors","2007 ","22","22","0",
"45 s","Investors","2008 ","30","28","2",
"45 s","Investors","2009 ","23","21","2",
"45 s","Investors","2010 ","26","26","0",
"45 s","Investors","2011 ","21","18","3",
"45 s","Investors","2012 ","24","22","2",
"45 s","Investors","2013 ","35","34","1",
"45 s","Investors","2014 ","13","13","0",
"45 s","Investors","2015 ","15","15","0",
"45 s","Investors","2016 ","12","11","1",
"45 s","Investors","2017 ","18","17","1",
"45 s","Investors","2018 ","17","17","0",
"45 s","Investors","2019 ","15","14","1",
"45 s","Trade and Business","2000 ","10","10","0",
"45 s","Trade and Business","2001 ","10","10","0",
"45 s","Trade and Business","2002 ","24","23","1",
"45 s","Trade and Business","2003 ","12","12","0",
"45 s","Trade and Business","2004 ","23","22","1",
"45 s","Trade and Business","2005 ","19","19","0",
"45 s","Trade and Business","2006 ","18","18","0",
"45 s","Trade and Business","2007 ","10","9","1",
"45 s","Trade and Business","2008 ","12","12","0",
"45 s","Trade and Business","2009 ","17","17","0",
"45 s","Trade and Business","2010 ","17","17","0",
"45 s","Trade and Business","2011 ","28","28","",
"45 s","Trade and Business","2012 ","22","22","",
"45 s","Trade and Business","2013 ","41","38","3",
"45 s","Trade and Business","2014 ","48","47","1",
"45 s","Trade and Business","2015 ","41","40","1",
"45 s","Trade and Business","2016 ","30","29","1",
"45 s","Trade and Business","2017 ","21","21","0",
"45 s","Trade and Business","2018 ","16","15","1",
"45 s","Trade and Business","2019 ","14","14","0",
"45 s","Research","2000 ","12","12","0",
"45 s","Research","2001 ","11","10","1",
"45 s","Research","2002 ","7","5","2",
"45 s","Research","2003 ","16","15","1",
"45 s","Research","2004 ","6","4","2",
"45 s","Research","2005 ","11","9","2",
"45 s","Research","2006 ","6","5","1",
"45 s","Research","2007 ","9","9","0",
"45 s","Research","2008 ","15","13","2",
"45 s","Research","2009 ","3","2","1",
"45 s","Research","2010 ","9","7","2",
"45 s","Research","2011 ","2","2","",
"45 s","Research","2012 ","1","1","",
"45 s","Research","2013 ","9","9","0",
"45 s","Research","2014 ","10","10","0",
"45 s","Research","2015 ","3","3","0",
"45 s","Research","2016 ","6","3","3",
"45 s","Research","2017 ","5","5","0",
"45 s","Research","2018 ","7","6","1",
"45 s","Research","2019 ","5","3","2",
"45 s","Art and Entertainment","2000 ","15","15","0",
"45 s","Art and Entertainment","2001 ","7","5","2",
"45 s","Art and Entertainment","2002 ","10","8","2",
"45 s","Art and Entertainment","2003 ","10","9","1",
"45 s","Art and Entertainment","2004 ","6","3","3",
"45 s","Art and Entertainment","2005 ","12","8","4",
"45 s","Art and Entertainment","2006 ","7","4","3",
"45 s","Art and Entertainment","2007 ","15","10","5",
"45 s","Art and Entertainment","2008 ","15","12","3",
"45 s","Art and Entertainment","2009 ","8","8","0",
"45 s","Art and Entertainment","2010 ","6","3","3",
"45 s","Art and Entertainment","2011 ","7","7","",
"45 s","Art and Entertainment","2012 ","9","8","1",
"45 s","Art and Entertainment","2013 ","7","6","1",
"45 s","Art and Entertainment","2014 ","8","8","0",
"45 s","Art and Entertainment","2015 ","4","1","3",
"45 s","Art and Entertainment","2016 ","4","2","2",
"45 s","Art and Entertainment","2017 ","6","3","3",
"45 s","Art and Entertainment","2018 ","4","3","1",
"45 s","Art and Entertainment","2019 ","4","1","3",
"45 s","Unskilled Employment","2000 ","0","0","0",
"45 s","Unskilled Employment","2001 ","0","0","0",
"45 s","Unskilled Employment","2002 ","0","0","0",
"45 s","Unskilled Employment","2003 ","15","11","4",
"45 s","Unskilled Employment","2004 ","60","40","20",
"45 s","Unskilled Employment","2005 ","21","16","5",
"45 s","Unskilled Employment","2006 ","46","33","13",
"45 s","Unskilled Employment","2007 ","11","4","7",
"45 s","Unskilled Employment","2008 ","4","2","2",
"45 s","Unskilled Employment","2009 ","6","5","1",
"45 s","Unskilled Employment","2010 ","1","1","0",
"45 s","Unskilled Employment","2011 ","2","2","",
"45 s","Unskilled Employment","2012 ","18","18","",
"45 s","Unskilled Employment","2013 ","36","36","0",
"45 s","Unskilled Employment","2014 ","11","11","0",
"45 s","Unskilled Employment","2015 ","20","20","0",
"45 s","Unskilled Employment","2016 ","21","21","0",
"45 s","Unskilled Employment","2017 ","40","40","0",
"45 s","Unskilled Employment","2018 ","25","23","2",
"45 s","Unskilled Employment","2019 ","32","32","0",
"45 s","Visiting and Joining Family","2000 ","56","4","52",
"45 s","Visiting and Joining Family","2001 ","121","2","119",
"45 s","Visiting and Joining Family","2002 ","119","19","100",
"45 s","Visiting and Joining Family","2003 ","473","244","229",
"45 s","Visiting and Joining Family","2004 ","678","351","327",
"45 s","Visiting and Joining Family","2005 ","1936","976","960",
"45 s","Visiting and Joining Family","2006 ","2422","1283","1139",
"45 s","Visiting and Joining Family","2007 ","254","115","139",
"45 s","Visiting and Joining Family","2008 ","27","14","13",
"45 s","Visiting and Joining Family","2009 ","34","15","19",
"45 s","Visiting and Joining Family","2010 ","66","31","35",
"45 s","Visiting and Joining Family","2011 ","58","17","41",
"45 s","Visiting and Joining Family","2012 ","63","17","46",
"45 s","Visiting and Joining Family","2013 ","92","21","71",
"45 s","Visiting and Joining Family","2014 ","111","28","83",
"45 s","Visiting and Joining Family","2015 ","203","47","156",
"45 s","Visiting and Joining Family","2016 ","343","106","237",
"45 s","Visiting and Joining Family","2017 ","296","112","184",
"45 s","Visiting and Joining Family","2018 ","288","106","182",
"45 s","Visiting and Joining Family","2019 ","376","130","246",
"45 s","Overseas Koreans","2000 ","17","6","11",
"45 s","Overseas Koreans","2001 ","23","13","10",
"45 s","Overseas Koreans","2002 ","31","15","16",
"45 s","Overseas Koreans","2003 ","36","20","16",
"45 s","Overseas Koreans","2004 ","47","20","27",
"45 s","Overseas Koreans","2005 ","41","17","24",
"45 s","Overseas Koreans","2006 ","33","13","20",
"45 s","Overseas Koreans","2007 ","50","20","30",
"45 s","Overseas Koreans","2008 ","57","28","29",
"45 s","Overseas Koreans","2009 ","48","22","26",
"45 s","Overseas Koreans","2010 ","231","94","137",
"45 s","Overseas Koreans","2011 ","227","95","132",
"45 s","Overseas Koreans","2012 ","180","84","96",
"45 s","Overseas Koreans","2013 ","274","155","119",
"45 s","Overseas Koreans","2014 ","297","161","136",
"45 s","Overseas Koreans","2015 ","386","206","180",
"45 s","Overseas Koreans","2016 ","550","283","267",
"45 s","Overseas Koreans","2017 ","563","311","252",
"45 s","Overseas Koreans","2018 ","556","327","229",
"45 s","Overseas Koreans","2019 ","562","294","268",
"45 s","Permanent Residence","2000 ","0","0","0",
"45 s","Permanent Residence","2001 ","0","0","0",
"45 s","Permanent Residence","2002 ","0","0","0",
"45 s","Permanent Residence","2003 ","6","6","0",
"45 s","Permanent Residence","2004 ","9","6","3",
"45 s","Permanent Residence","2005 ","6","5","1",
"45 s","Permanent Residence","2006 ","5","4","1",
"45 s","Permanent Residence","2007 ","7","4","3",
"45 s","Permanent Residence","2008 ","10","2","8",
"45 s","Permanent Residence","2009 ","11","3","8",
"45 s","Permanent Residence","2010 ","21","8","13",
"45 s","Permanent Residence","2011 ","54","19","35",
"45 s","Permanent Residence","2012 ","77","30","47",
"45 s","Permanent Residence","2013 ","111","41","70",
"45 s","Permanent Residence","2014 ","110","47","63",
"45 s","Permanent Residence","2015 ","123","61","62",
"45 s","Permanent Residence","2016 ","135","64","71",
"45 s","Permanent Residence","2017 ","132","49","83",
"45 s","Permanent Residence","2018 ","141","62","79",
"45 s","Permanent Residence","2019 ","118","52","66",
"45 s","Marriage Immigration","2011 ","3","2","1",
"45 s","Marriage Immigration","2012 ","149","42","107",
"45 s","Marriage Immigration","2013 ","146","40","106",
"45 s","Marriage Immigration","2014 ","142","38","104",
"45 s","Marriage Immigration","2015 ","136","44","92",
"45 s","Marriage Immigration","2016 ","139","43","96",
"45 s","Marriage Immigration","2017 ","116","32","84",
"45 s","Marriage Immigration","2018 ","141","32","109",
"45 s","Marriage Immigration","2019 ","126","35","91",
"46 s","Total","2000 ","1778","1026","752",
"46 s","Total","2001 ","2125","1266","859",
"46 s","Total","2002 ","1996","1173","823",
"46 s","Total","2003 ","2269","1259","1010",
"46 s","Total","2004 ","2837","1459","1378",
"46 s","Total","2005 ","3593","1889","1704",
"46 s","Total","2006 ","4855","2634","2221",
"46 s","Total","2007 ","3853","2000","1853",
"46 s","Total","2008 ","3671","1826","1845",
"46 s","Total","2009 ","4042","1995","2047",
"46 s","Total","2010 ","5187","2683","2504",
"46 s","Total","2011 ","4207","2078","2129",
"46 s","Total","2012 ","3397","1633","1764",
"46 s","Total","2013 ","4660","2320","2340",
"46 s","Total","2014 ","5736","3085","2651",
"46 s","Total","2015 ","4919","2533","2386",
"46 s","Total","2016 ","5151","2680","2471",
"46 s","Total","2017 ","6314","3509","2805",
"46 s","Total","2018 ","6761","3784","2977",
"46 s","Total","2019 ","5097","2562","2535",
"46 s","Sightseeing Pass","2000 ","232","134","98",
"46 s","Sightseeing Pass","2001 ","356","240","116",
"46 s","Sightseeing Pass","2002 ","402","262","140",
"46 s","Sightseeing Pass","2003 ","327","210","117",
"46 s","Sightseeing Pass","2004 ","349","209","140",
"46 s","Sightseeing Pass","2005 ","295","182","113",
"46 s","Sightseeing Pass","2006 ","216","139","77",
"46 s","Sightseeing Pass","2007 ","175","102","73",
"46 s","Sightseeing Pass","2008 ","212","132","80",
"46 s","Sightseeing Pass","2009 ","209","125","84",
"46 s","Sightseeing Pass","2010 ","266","152","114",
"46 s","Sightseeing Pass","2011 ","233","108","125",
"46 s","Sightseeing Pass","2012 ","238","134","104",
"46 s","Sightseeing Pass","2013 ","210","105","105",
"46 s","Sightseeing Pass","2014 ","263","151","112",
"46 s","Sightseeing Pass","2015 ","318","180","138",
"46 s","Sightseeing Pass","2016 ","332","179","153",
"46 s","Sightseeing Pass","2017 ","404","254","150",
"46 s","Sightseeing Pass","2018 ","689","446","243",
"46 s","Sightseeing Pass","2019 ","340","151","189",
"46 s","Short-term Business","2000 ","329","204","125",
"46 s","Short-term Business","2001 ","401","263","138",
"46 s","Short-term Business","2002 ","195","137","58",
"46 s","Short-term Business","2003 ","161","127","34",
"46 s","Short-term Business","2004 ","169","133","36",
"46 s","Short-term Business","2005 ","109","90","19",
"46 s","Short-term Business","2006 ","240","183","57",
"46 s","Short-term Business","2007 ","215","167","48",
"46 s","Short-term Business","2008 ","119","93","26",
"46 s","Short-term Business","2009 ","53","47","6",
"46 s","Short-term Business","2010 ","59","50","9",
"46 s","Short-term Business","2011 ","37","34","3",
"46 s","Short-term Visitors","2000 ","690","367","323",
"46 s","Short-term Visitors","2001 ","767","392","375",
"46 s","Short-term Visitors","2002 ","713","399","314",
"46 s","Short-term Visitors","2003 ","621","307","314",
"46 s","Short-term Visitors","2004 ","566","299","267",
"46 s","Short-term Visitors","2005 ","564","284","280",
"46 s","Short-term Visitors","2006 ","509","245","264",
"46 s","Short-term Visitors","2007 ","362","164","198",
"46 s","Short-term Visitors","2008 ","334","143","191",
"46 s","Short-term Visitors","2009 ","381","144","237",
"46 s","Short-term Visitors","2010 ","1602","778","824",
"46 s","Short-term Visitors","2011 ","1658","766","892",
"46 s","Short-term Visitors","2012 ","1205","532","673",
"46 s","Short-term Visitors","2013 ","1625","748","877",
"46 s","Short-term Visitors","2014 ","1285","650","635",
"46 s","Short-term Visitors","2015 ","1452","763","689",
"46 s","Short-term Visitors","2016 ","1582","861","721",
"46 s","Short-term Visitors","2017 ","1540","897","643",
"46 s","Short-term Visitors","2018 ","1535","847","688",
"46 s","Short-term Visitors","2019 ","1213","664","549",
"46 s","Short-term Employment","2000 ","3","1","2",
"46 s","Short-term Employment","2001 ","3","2","1",
"46 s","Short-term Employment","2002 ","4","3","1",
"46 s","Short-term Employment","2003 ","4","4","0",
"46 s","Short-term Employment","2004 ","3","2","1",
"46 s","Short-term Employment","2005 ","5","5","0",
"46 s","Short-term Employment","2006 ","6","4","2",
"46 s","Short-term Employment","2007 ","3","3","0",
"46 s","Short-term Employment","2008 ","1","1","0",
"46 s","Short-term Employment","2009 ","0","0","0",
"46 s","Short-term Employment","2010 ","0","0","0",
"46 s","Short-term Employment","2012 ","2","1","1",
"46 s","Short-term Employment","2013 ","1","1","0",
"46 s","Short-term Employment","2015 ","2","1","1",
"46 s","Short-term Employment","2016 ","8","8","0",
"46 s","Short-term Employment","2017 ","3","3","0",
"46 s","Short-term Employment","2018 ","1","1","0",
"46 s","Short-term Employment","2019 ","2","1","1",
"46 s","Job Seeking","2000 ","0","0","0",
"46 s","Job Seeking","2001 ","0","0","0",
"46 s","Job Seeking","2002 ","0","0","0",
"46 s","Job Seeking","2003 ","0","0","0",
"46 s","Job Seeking","2004 ","0","0","0",
"46 s","Job Seeking","2005 ","0","0","0",
"46 s","Job Seeking","2006 ","0","0","0",
"46 s","Job Seeking","2007 ","0","0","0",
"46 s","Job Seeking","2008 ","0","0","0",
"46 s","Job Seeking","2009 ","0","0","0",
"46 s","Job Seeking","2010 ","0","0","0",
"46 s","Job Seeking","2014 ","1","1","0",
"46 s","Job Seeking","2016 ","1","1","0",
"46 s","study","2000 ","2","1","1",
"46 s","study","2001 ","5","3","2",
"46 s","study","2002 ","7","5","2",
"46 s","study","2003 ","3","1","2",
"46 s","study","2004 ","8","4","4",
"46 s","study","2005 ","5","4","1",
"46 s","study","2006 ","5","4","1",
"46 s","study","2007 ","3","2","1",
"46 s","study","2008 ","3","2","1",
"46 s","study","2009 ","2","1","1",
"46 s","study","2010 ","5","4","1",
"46 s","study","2011 ","10","8","2",
"46 s","study","2012 ","5","5","",
"46 s","study","2013 ","5","4","1",
"46 s","study","2014 ","7","6","1",
"46 s","study","2015 ","2","1","1",
"46 s","study","2016 ","6","1","5",
"46 s","study","2017 ","12","10","2",
"46 s","study","2018 ","13","7","6",
"46 s","study","2019 ","14","7","7",
"46 s","General Trainees","2000 ","6","3","3",
"46 s","General Trainees","2001 ","1","1","0",
"46 s","General Trainees","2002 ","2","1","1",
"46 s","General Trainees","2003 ","5","5","0",
"46 s","General Trainees","2004 ","3","3","0",
"46 s","General Trainees","2005 ","4","3","1",
"46 s","General Trainees","2006 ","4","2","2",
"46 s","General Trainees","2007 ","7","1","6",
"46 s","General Trainees","2008 ","2","1","1",
"46 s","General Trainees","2009 ","7","5","2",
"46 s","General Trainees","2010 ","12","9","3",
"46 s","General Trainees","2011 ","43","26","17",
"46 s","General Trainees","2013 ","5","2","3",
"46 s","General Trainees","2014 ","6","2","4",
"46 s","General Trainees","2015 ","3","3","0",
"46 s","General Trainees","2016 ","19","15","4",
"46 s","General Trainees","2017 ","7","2","5",
"46 s","General Trainees","2018 ","2","1","1",
"46 s","General Trainees","2019 ","6","6","0",
